mesh_heading,tree_number,major_tree_number,major_mesh_heading
"Encephalitis, Japanese",C01.207.399.750.300.400,C01,Infections
"Encephalitis, St. Louis",C01.207.399.750.300.550,C01,Infections
"Encephalitis, Tick-Borne",C01.207.399.750.300.775,C01,Infections
West Nile Fever,C01.207.399.750.300.887,C01,Infections
"Encephalitis, Herpes Simplex",C01.207.399.750.350,C01,Infections
"Encephalitis, Varicella Zoster",C01.207.399.750.400,C01,Infections
"Encephalomyelitis, Equine",C01.207.399.750.450,C01,Infections
"Encephalomyelitis, Eastern Equine",C01.207.399.750.450.200,C01,Infections
"Encephalomyelitis, Venezuelan Equine",C01.207.399.750.450.600,C01,Infections
"Encephalomyelitis, Western Equine",C01.207.399.750.450.800,C01,Infections
"Leukoencephalopathy, Progressive Multifocal",C01.207.399.750.500,C01,Infections
Subacute Sclerosing Panencephalitis,C01.207.399.750.600,C01,Infections
Meningoencephalitis,C01.207.570,C01,Infections
"Lupus Vasculitis, Central Nervous System",C01.207.570.450,C01,Infections
Myelitis,C01.207.618,C01,Infections
"Myelitis, Transverse",C01.207.618.250,C01,Infections
"Paraparesis, Tropical Spastic",C01.207.618.500,C01,Infections
Poliomyelitis,C01.207.618.750,C01,Infections
"Poliomyelitis, Bulbar",C01.207.618.750.500,C01,Infections
Postpoliomyelitis Syndrome,C01.207.618.750.750,C01,Infections
Perimeningeal Infections,C01.207.709,C01,Infections
"Empyema, Subdural",C01.207.709.300,C01,Infections
Epidural Abscess,C01.207.709.350,C01,Infections
Subdural Effusion,C01.207.709.675,C01,Infections
Prion Diseases,C01.207.800,C01,Infections
Creutzfeldt-Jakob Syndrome,C01.207.800.230,C01,Infections
"Encephalopathy, Bovine Spongiform",C01.207.800.260,C01,Infections
Gerstmann-Straussler-Scheinker Disease,C01.207.800.350,C01,Infections
"Insomnia, Fatal Familial",C01.207.800.392,C01,Infections
Kuru,C01.207.800.435,C01,Infections
Scrapie,C01.207.800.717,C01,Infections
"Wasting Disease, Chronic",C01.207.800.858,C01,Infections
Coinfection,C01.218,C01,Infections
Communicable Diseases,C01.221,C01,Infections
Blood-Borne Infections,C01.221.250,C01,Infections
Hepatitis B,C01.221.250.500,C01,Infections
"Hepatitis B, Chronic",C01.221.250.500.100,C01,Infections
Hepatitis C,C01.221.250.750,C01,Infections
"Hepatitis C, Chronic",C01.221.250.750.120,C01,Infections
HIV Infections,C01.221.250.875,C01,Infections
Acquired Immunodeficiency Syndrome,C01.221.250.875.040,C01,Infections
Acute Retroviral Syndrome,C01.221.250.875.044,C01,Infections
"AIDS Arteritis, Central Nervous System",C01.221.250.875.048,C01,Infections
AIDS Dementia Complex,C01.221.250.875.049,C01,Infections
AIDS-Associated Nephropathy,C01.221.250.875.050,C01,Infections
AIDS-Related Complex,C01.221.250.875.080,C01,Infections
AIDS-Related Opportunistic Infections,C01.221.250.875.100,C01,Infections
HIV Enteropathy,C01.221.250.875.398,C01,Infections
HIV Seropositivity,C01.221.250.875.500,C01,Infections
HIV Wasting Syndrome,C01.221.250.875.520,C01,Infections
HIV-Associated Lipodystrophy Syndrome,C01.221.250.875.550,C01,Infections
"Communicable Diseases, Emerging",C01.221.500,C01,Infections
"Communicable Diseases, Imported",C01.221.625,C01,Infections
Sexually Transmitted Diseases,C01.221.812,C01,Infections
"Sexually Transmitted Diseases, Bacterial",C01.221.812.281,C01,Infections
Chancroid,C01.221.812.281.201,C01,Infections
Chlamydia Infections,C01.221.812.281.301,C01,Infections
Lymphogranuloma Venereum,C01.221.812.281.301.490,C01,Infections
Gonorrhea,C01.221.812.281.401,C01,Infections
Granuloma Inguinale,C01.221.812.281.451,C01,Infections
Syphilis,C01.221.812.281.859,C01,Infections
"Sexually Transmitted Diseases, Viral",C01.221.812.640,C01,Infections
Condylomata Acuminata,C01.221.812.640.220,C01,Infections
Buschke-Lowenstein Tumor,C01.221.812.640.220.500,C01,Infections
Herpes Genitalis,C01.221.812.640.350,C01,Infections
HIV Infections,C01.221.812.640.400,C01,Infections
Acquired Immunodeficiency Syndrome,C01.221.812.640.400.040,C01,Infections
Acute Retroviral Syndrome,C01.221.812.640.400.044,C01,Infections
"AIDS Arteritis, Central Nervous System",C01.221.812.640.400.048,C01,Infections
AIDS Dementia Complex,C01.221.812.640.400.070,C01,Infections
AIDS-Associated Nephropathy,C01.221.812.640.400.072,C01,Infections
AIDS-Related Complex,C01.221.812.640.400.080,C01,Infections
HIV Enteropathy,C01.221.812.640.400.480,C01,Infections
HIV Seropositivity,C01.221.812.640.400.500,C01,Infections
HIV Wasting Syndrome,C01.221.812.640.400.520,C01,Infections
HIV-Associated Lipodystrophy Syndrome,C01.221.812.640.400.530,C01,Infections
Community-Acquired Infections,C01.234,C01,Infections
Cross Infection,C01.248,C01,Infections
Healthcare-Associated Pneumonia,C01.248.250,C01,Infections
"Pneumonia, Ventilator-Associated",C01.248.250.500,C01,Infections
Eye Infections,C01.375,C01,Infections
Corneal Ulcer,C01.375.177,C01,Infections
Endophthalmitis,C01.375.265,C01,Infections
"Uveitis, Suppurative",C01.375.265.500,C01,Infections
"Eye Infections, Bacterial",C01.375.354,C01,Infections
"Conjunctivitis, Bacterial",C01.375.354.220,C01,Infections
"Conjunctivitis, Inclusion",C01.375.354.220.250,C01,Infections
Ophthalmia Neonatorum,C01.375.354.220.625,C01,Infections
Trachoma,C01.375.354.220.800,C01,Infections
Hordeolum,C01.375.354.400,C01,Infections
"Keratoconjunctivitis, Infectious",C01.375.354.450,C01,Infections
"Tuberculosis, Ocular",C01.375.354.800,C01,Infections
"Uveitis, Suppurative",C01.375.354.900,C01,Infections
Panophthalmitis,C01.375.354.900.675,C01,Infections
"Eye Infections, Fungal",C01.375.450,C01,Infections
"Uveitis, Suppurative",C01.375.450.900,C01,Infections
Panophthalmitis,C01.375.450.900.675,C01,Infections
"Eye Infections, Viral",C01.375.725,C01,Infections
"Conjunctivitis, Viral",C01.375.725.250,C01,Infections
"Conjunctivitis, Acute Hemorrhagic",C01.375.725.250.250,C01,Infections
Cytomegalovirus Retinitis,C01.375.725.270,C01,Infections
Herpes Zoster Ophthalmicus,C01.375.725.450,C01,Infections
"Keratitis, Herpetic",C01.375.725.465,C01,Infections
"Keratitis, Dendritic",C01.375.725.465.450,C01,Infections
Focal Infection,C01.392,C01,Infections
"Focal Infection, Dental",C01.392.433,C01,Infections
Gingivitis,C01.408,C01,Infections
Gingival Pocket,C01.408.360,C01,Infections
"Gingivitis, Necrotizing Ulcerative",C01.408.446,C01,Infections
"Hepatitis, Animal",C01.436,C01,Infections
"Hepatitis, Viral, Animal",C01.436.430,C01,Infections
"Hepatitis, Infectious Canine",C01.436.430.440,C01,Infections
Rift Valley Fever,C01.436.430.812,C01,Infections
Intraabdominal Infections,C01.463,C01,Infections
Appendicitis,C01.463.099,C01,Infections
Peritonitis,C01.463.600,C01,Infections
"Peritonitis, Tuberculous",C01.463.600.249,C01,Infections
Subphrenic Abscess,C01.463.600.500,C01,Infections
Typhlitis,C01.463.850,C01,Infections
Laboratory Infection,C01.503,C01,Infections
Latent Infection,C01.550,C01,Infections
Latent Tuberculosis,C01.550.500,C01,Infections
"Syphilis, Latent",C01.550.750,C01,Infections
Opportunistic Infections,C01.597,C01,Infections
AIDS-Related Opportunistic Infections,C01.597.050,C01,Infections
Superinfection,C01.597.880,C01,Infections
Parasitic Diseases,C01.610,C01,Infections
Central Nervous System Parasitic Infections,C01.610.105,C01,Infections
Central Nervous System Helminthiasis,C01.610.105.250,C01,Infections
Neurocysticercosis,C01.610.105.250.550,C01,Infections
Neuroschistosomiasis,C01.610.105.250.600,C01,Infections
Central Nervous System Protozoal Infections,C01.610.105.300,C01,Infections
"Malaria, Cerebral",C01.610.105.300.500,C01,Infections
"Toxoplasmosis, Cerebral",C01.610.105.300.800,C01,Infections
"Eye Infections, Parasitic",C01.610.300,C01,Infections
Acanthamoeba Keratitis,C01.610.300.125,C01,Infections
"Onchocerciasis, Ocular",C01.610.300.562,C01,Infections
"Toxoplasmosis, Ocular",C01.610.300.781,C01,Infections
Helminthiasis,C01.610.335,C01,Infections
Cestode Infections,C01.610.335.190,C01,Infections
Diphyllobothriasis,C01.610.335.190.304,C01,Infections
Sparganosis,C01.610.335.190.304.780,C01,Infections
Echinococcosis,C01.610.335.190.396,C01,Infections
"Echinococcosis, Hepatic",C01.610.335.190.396.314,C01,Infections
"Echinococcosis, Pulmonary",C01.610.335.190.396.480,C01,Infections
Hymenolepiasis,C01.610.335.190.519,C01,Infections
Monieziasis,C01.610.335.190.628,C01,Infections
Taeniasis,C01.610.335.190.902,C01,Infections
Cysticercosis,C01.610.335.190.902.185,C01,Infections
Neurocysticercosis,C01.610.335.190.902.185.550,C01,Infections
"Helminthiasis, Animal",C01.610.335.349,C01,Infections
Dictyocaulus Infections,C01.610.335.349.315,C01,Infections
Dirofilariasis,C01.610.335.349.320,C01,Infections
Fascioloidiasis,C01.610.335.349.444,C01,Infections
Monieziasis,C01.610.335.349.656,C01,Infections
Setariasis,C01.610.335.349.820,C01,Infections
"Strongyle Infections, Equine",C01.610.335.349.840,C01,Infections
Toxocariasis,C01.610.335.349.868,C01,Infections
Nematode Infections,C01.610.335.508,C01,Infections
Adenophorea Infections,C01.610.335.508.100,C01,Infections
Enoplida Infections,C01.610.335.508.100.275,C01,Infections
Trichinellosis,C01.610.335.508.100.275.882,C01,Infections
Trichuriasis,C01.610.335.508.100.275.895,C01,Infections
Larva Migrans,C01.610.335.508.523,C01,Infections
"Larva Migrans, Visceral",C01.610.335.508.523.780,C01,Infections
Secernentea Infections,C01.610.335.508.700,C01,Infections
Ascaridida Infections,C01.610.335.508.700.100,C01,Infections
Anisakiasis,C01.610.335.508.700.100.060,C01,Infections
Ascariasis,C01.610.335.508.700.100.070,C01,Infections
Ascaridiasis,C01.610.335.508.700.100.080,C01,Infections
Toxascariasis,C01.610.335.508.700.100.850,C01,Infections
Toxocariasis,C01.610.335.508.700.100.868,C01,Infections
"Larva Migrans, Visceral",C01.610.335.508.700.100.868.420,C01,Infections
Oxyurida Infections,C01.610.335.508.700.550,C01,Infections
Oxyuriasis,C01.610.335.508.700.550.550,C01,Infections
Enterobiasis,C01.610.335.508.700.550.550.375,C01,Infections
Rhabditida Infections,C01.610.335.508.700.700,C01,Infections
Strongyloidiasis,C01.610.335.508.700.700.799,C01,Infections
Spirurida Infections,C01.610.335.508.700.750,C01,Infections
Dracunculiasis,C01.610.335.508.700.750.299,C01,Infections
Filariasis,C01.610.335.508.700.750.361,C01,Infections
Acanthocheilonemiasis,C01.610.335.508.700.750.361.137,C01,Infections
Dipetalonema Infections,C01.610.335.508.700.750.361.275,C01,Infections
Dirofilariasis,C01.610.335.508.700.750.361.290,C01,Infections
"Elephantiasis, Filarial",C01.610.335.508.700.750.361.350,C01,Infections
Loiasis,C01.610.335.508.700.750.361.518,C01,Infections
Mansonelliasis,C01.610.335.508.700.750.361.588,C01,Infections
Onchocerciasis,C01.610.335.508.700.750.361.699,C01,Infections
"Onchocerciasis, Ocular",C01.610.335.508.700.750.361.699.500,C01,Infections
Setariasis,C01.610.335.508.700.750.361.852,C01,Infections
Gnathostomiasis,C01.610.335.508.700.750.380,C01,Infections
Strongylida Infections,C01.610.335.508.700.775,C01,Infections
Hookworm Infections,C01.610.335.508.700.775.455,C01,Infections
Ancylostomiasis,C01.610.335.508.700.775.455.154,C01,Infections
Necatoriasis,C01.610.335.508.700.775.455.683,C01,Infections
Oesophagostomiasis,C01.610.335.508.700.775.583,C01,Infections
"Strongyle Infections, Equine",C01.610.335.508.700.775.773,C01,Infections
Trichostrongyloidiasis,C01.610.335.508.700.775.825,C01,Infections
Dictyocaulus Infections,C01.610.335.508.700.775.825.315,C01,Infections
Haemonchiasis,C01.610.335.508.700.775.825.400,C01,Infections
Ostertagiasis,C01.610.335.508.700.775.825.580,C01,Infections
Trichostrongylosis,C01.610.335.508.700.775.825.842,C01,Infections
Trematode Infections,C01.610.335.865,C01,Infections
Clonorchiasis,C01.610.335.865.148,C01,Infections
Dicrocoeliasis,C01.610.335.865.224,C01,Infections
Echinostomiasis,C01.610.335.865.282,C01,Infections
Fascioliasis,C01.610.335.865.354,C01,Infections
Fascioloidiasis,C01.610.335.865.399,C01,Infections
Opisthorchiasis,C01.610.335.865.685,C01,Infections
Paragonimiasis,C01.610.335.865.741,C01,Infections
Schistosomiasis,C01.610.335.865.859,C01,Infections
Neuroschistosomiasis,C01.610.335.865.859.213,C01,Infections
Schistosomiasis haematobia,C01.610.335.865.859.427,C01,Infections
Schistosomiasis japonica,C01.610.335.865.859.521,C01,Infections
Schistosomiasis mansoni,C01.610.335.865.859.576,C01,Infections
"Intestinal Diseases, Parasitic",C01.610.432,C01,Infections
Anisakiasis,C01.610.432.060,C01,Infections
Balantidiasis,C01.610.432.146,C01,Infections
Blastocystis Infections,C01.610.432.250,C01,Infections
Cryptosporidiosis,C01.610.432.269,C01,Infections
Dientamoebiasis,C01.610.432.275,C01,Infections
"Dysentery, Amebic",C01.610.432.396,C01,Infections
Giardiasis,C01.610.432.481,C01,Infections
"Liver Diseases, Parasitic",C01.610.518,C01,Infections
"Echinococcosis, Hepatic",C01.610.518.314,C01,Infections
Fascioliasis,C01.610.518.424,C01,Infections
"Liver Abscess, Amebic",C01.610.518.600,C01,Infections
"Lung Diseases, Parasitic",C01.610.582,C01,Infections
"Echinococcosis, Pulmonary",C01.610.582.314,C01,Infections
Mesomycetozoea Infections,C01.610.600,C01,Infections
Rhinosporidiosis,C01.610.600.700,C01,Infections
Opportunistic Infections,C01.610.684,C01,Infections
AIDS-Related Opportunistic Infections,C01.610.684.050,C01,Infections
Superinfection,C01.610.684.880,C01,Infections
Parasitemia,C01.610.695,C01,Infections
"Parasitic Diseases, Animal",C01.610.701,C01,Infections
"Helminthiasis, Animal",C01.610.701.377,C01,Infections
Dictyocaulus Infections,C01.610.701.377.315,C01,Infections
Dirofilariasis,C01.610.701.377.320,C01,Infections
Fascioloidiasis,C01.610.701.377.444,C01,Infections
Monieziasis,C01.610.701.377.656,C01,Infections
Setariasis,C01.610.701.377.820,C01,Infections
"Strongyle Infections, Equine",C01.610.701.377.840,C01,Infections
Toxocariasis,C01.610.701.377.868,C01,Infections
"Protozoan Infections, Animal",C01.610.701.688,C01,Infections
Babesiosis,C01.610.701.688.122,C01,Infections
Cryptosporidiosis,C01.610.701.688.235,C01,Infections
Dourine,C01.610.701.688.367,C01,Infections
Theileriasis,C01.610.701.688.735,C01,Infections
"Toxoplasmosis, Animal",C01.610.701.688.817,C01,Infections
"Trypanosomiasis, Bovine",C01.610.701.688.896,C01,Infections
Pythiosis,C01.610.701.844,C01,Infections
"Pregnancy Complications, Parasitic",C01.610.718,C01,Infections
Protozoan Infections,C01.610.752,C01,Infections
Amebiasis,C01.610.752.049,C01,Infections
Acanthamoeba Keratitis,C01.610.752.049.203,C01,Infections
Blastocystis Infections,C01.610.752.049.250,C01,Infections
"Dysentery, Amebic",C01.610.752.049.328,C01,Infections
Entamoebiasis,C01.610.752.049.407,C01,Infections
"Liver Abscess, Amebic",C01.610.752.049.703,C01,Infections
Babesiosis,C01.610.752.075,C01,Infections
Central Nervous System Protozoal Infections,C01.610.752.100,C01,Infections
Ciliophora Infections,C01.610.752.200,C01,Infections
Balantidiasis,C01.610.752.200.146,C01,Infections
Coccidiosis,C01.610.752.250,C01,Infections
Cryptosporidiosis,C01.610.752.250.269,C01,Infections
Cyclosporiasis,C01.610.752.250.280,C01,Infections
Isosporiasis,C01.610.752.250.410,C01,Infections
Sarcocystosis,C01.610.752.250.634,C01,Infections
Toxoplasmosis,C01.610.752.250.800,C01,Infections
"Toxoplasmosis, Animal",C01.610.752.250.800.110,C01,Infections
"Toxoplasmosis, Cerebral",C01.610.752.250.800.250,C01,Infections
"Toxoplasmosis, Congenital",C01.610.752.250.800.445,C01,Infections
"Toxoplasmosis, Ocular",C01.610.752.250.800.640,C01,Infections
Dientamoebiasis,C01.610.752.275,C01,Infections
Euglenozoa Infections,C01.610.752.300,C01,Infections
Leishmaniasis,C01.610.752.300.500,C01,Infections
"Leishmaniasis, Cutaneous",C01.610.752.300.500.400,C01,Infections
"Leishmaniasis, Diffuse Cutaneous",C01.610.752.300.500.400.350,C01,Infections
"Leishmaniasis, Mucocutaneous",C01.610.752.300.500.400.385,C01,Infections
"Leishmaniasis, Visceral",C01.610.752.300.500.510,C01,Infections
Trypanosomiasis,C01.610.752.300.900,C01,Infections
Chagas Disease,C01.610.752.300.900.200,C01,Infections
Chagas Cardiomyopathy,C01.610.752.300.900.200.190,C01,Infections
Dourine,C01.610.752.300.900.226,C01,Infections
"Trypanosomiasis, African",C01.610.752.300.900.719,C01,Infections
"Trypanosomiasis, Bovine",C01.610.752.300.900.802,C01,Infections
Giardiasis,C01.610.752.400,C01,Infections
Malaria,C01.610.752.530,C01,Infections
"Malaria, Avian",C01.610.752.530.606,C01,Infections
"Malaria, Cerebral",C01.610.752.530.620,C01,Infections
"Malaria, Falciparum",C01.610.752.530.650,C01,Infections
Blackwater Fever,C01.610.752.530.650.228,C01,Infections
"Malaria, Vivax",C01.610.752.530.700,C01,Infections
"Protozoan Infections, Animal",C01.610.752.625,C01,Infections
Babesiosis,C01.610.752.625.122,C01,Infections
Cryptosporidiosis,C01.610.752.625.235,C01,Infections
Dourine,C01.610.752.625.367,C01,Infections
Theileriasis,C01.610.752.625.735,C01,Infections
"Toxoplasmosis, Animal",C01.610.752.625.817,C01,Infections
"Trypanosomiasis, Bovine",C01.610.752.625.896,C01,Infections
Theileriasis,C01.610.752.750,C01,Infections
Trichomonas Infections,C01.610.752.890,C01,Infections
Trichomonas Vaginitis,C01.610.752.890.633,C01,Infections
"Skin Diseases, Parasitic",C01.610.858,C01,Infections
Ectoparasitic Infestations,C01.610.858.211,C01,Infections
Flea Infestations,C01.610.858.211.250,C01,Infections
Tungiasis,C01.610.858.211.250.800,C01,Infections
Lice Infestations,C01.610.858.211.465,C01,Infections
Mite Infestations,C01.610.858.211.480,C01,Infections
Scabies,C01.610.858.211.480.708,C01,Infections
Trombiculiasis,C01.610.858.211.480.869,C01,Infections
Myiasis,C01.610.858.211.503,C01,Infections
Hypodermyiasis,C01.610.858.211.503.398,C01,Infections
Screw Worm Infection,C01.610.858.211.503.744,C01,Infections
Tick Infestations,C01.610.858.211.857,C01,Infections
Larva Migrans,C01.610.858.424,C01,Infections
Leishmaniasis,C01.610.858.560,C01,Infections
"Leishmaniasis, Cutaneous",C01.610.858.560.400,C01,Infections
"Leishmaniasis, Diffuse Cutaneous",C01.610.858.560.400.350,C01,Infections
"Leishmaniasis, Mucocutaneous",C01.610.858.560.400.385,C01,Infections
Onchocerciasis,C01.610.858.650,C01,Infections
Pelvic Infection,C01.635,C01,Infections
Pelvic Inflammatory Disease,C01.635.500,C01,Infections
Persistent Infection,C01.645,C01,Infections
Poult Enteritis Mortality Syndrome,C01.655,C01,Infections
"Pregnancy Complications, Infectious",C01.674,C01,Infections
"Abortion, Septic",C01.674.173,C01,Infections
Puerperal Infection,C01.674.715,C01,Infections
Prosthesis-Related Infections,C01.685,C01,Infections
Reproductive Tract Infections,C01.730,C01,Infections
